name,summary,faqs
"Hyundai","Hyundai Motor India Limited (HMIL) is the second-largest car manufacturer in India by market share and the largest passenger car exporter from India. Established in 1996, Hyundai has consistently delivered feature-rich vehicles with modern design, advanced technology, and excellent build quality. The company is known for introducing global technologies to the Indian market, offering comprehensive warranty coverage, and maintaining high customer satisfaction levels. Hyundai's manufacturing facility in Chennai is one of the most advanced automotive plants in India, producing cars not only for the domestic market but also for export to over 85 countries worldwide.","[{""question"":""What makes Hyundai cars special in India?"",""answer"":""Hyundai cars are known for their feature-rich interiors, modern design, advanced technology, excellent build quality, comprehensive warranty, and strong after-sales service network.""},{""question"":""Which are the most popular Hyundai models in India?"",""answer"":""Popular Hyundai models include Creta, Venue, i20, Verna, Alcazar, Tucson, and i10 Nios, known for their premium features, safety, and reliability.""},{""question"":""What warranty does Hyundai provide?"",""answer"":""Hyundai offers an industry-leading warranty of 3 years or unlimited kilometers on all passenger cars, with additional extended warranty options available.""},{""question"":""Does Hyundai have electric cars in India?"",""answer"":""Yes, Hyundai offers Kona Electric and Ioniq 5 electric vehicles in India, featuring advanced EV technology, fast charging capabilities, and impressive driving range.""},{""question"":""How is Hyundai's service network in India?"",""answer"":""Hyundai has over 1,300 sales points and 1,400+ service points across India, ensuring convenient access to sales and after-sales services nationwide.""}]"
"Maruti Suzuki","Maruti Suzuki India Limited is India's largest automobile manufacturer by market share, commanding over 50% of the passenger car market. Established in 1981 as a joint venture between the Government of India and Suzuki Motor Corporation of Japan, the company has revolutionized the Indian automotive landscape. Known for producing fuel-efficient, reliable, and affordable cars, Maruti Suzuki has built the widest sales and service network in India with over 3,000 sales outlets and 4,000 service stations across the country. The company's focus on understanding Indian customer needs, local manufacturing, and continuous innovation has made it the most trusted car brand in India.","[{""question"":""Why is Maruti Suzuki the most popular car brand in India?"",""answer"":""Maruti Suzuki is popular due to its excellent fuel efficiency, affordable pricing, low maintenance costs, reliable performance, and the widest service network in India with over 4,000 service stations.""},{""question"":""What is the warranty offered by Maruti Suzuki?"",""answer"":""Maruti Suzuki offers a standard warranty of 2 years or 40,000 km (whichever is earlier) on all passenger cars, with extended warranty options available up to 5 years.""},{""question"":""Which are the most fuel-efficient Maruti Suzuki cars?"",""answer"":""The most fuel-efficient Maruti cars include Alto K10 (24.39 kmpl), S-Presso (25.30 kmpl), Wagon R (25.19 kmpl), and Swift (23.20 kmpl) in petrol variants.""},{""question"":""Does Maruti Suzuki make CNG cars?"",""answer"":""Yes, Maruti Suzuki offers CNG variants in multiple models including Alto K10, S-Presso, Wagon R, Swift, Baleno, Dzire, Ertiga, and XL6 for eco-friendly and economical driving.""},{""question"":""What is Maruti Suzuki's approach to electric vehicles?"",""answer"":""Maruti Suzuki is developing electric vehicles with a focus on affordability and practicality for Indian conditions, with plans to launch EVs that meet local customer requirements and infrastructure.""}]"
"Mahindra","Mahindra & Mahindra Ltd. is India's leading SUV manufacturer and a prominent player in the utility vehicle segment. Founded in 1945, Mahindra has built a strong reputation for producing rugged, reliable, and capable vehicles that excel in Indian conditions. The company is synonymous with SUVs in India, offering a comprehensive range from compact SUVs to full-size luxury SUVs. Mahindra's focus on innovation, advanced technology, and understanding of Indian customer preferences has made it a trusted brand, particularly in rural and semi-urban markets. The company is also pioneering electric vehicle technology and sustainable mobility solutions.","[{""question"":""Why is Mahindra called the SUV specialist?"",""answer"":""Mahindra is India's leading SUV manufacturer with the widest SUV portfolio, offering rugged and reliable vehicles with excellent off-road capability and strong build quality.""},{""question"":""Which are Mahindra's most popular SUVs?"",""answer"":""Popular Mahindra SUVs include Scorpio N, XUV700, Thar, XUV300, Bolero, and Bolero Neo, known for their robust performance and capability.""},{""question"":""How capable are Mahindra vehicles off-road?"",""answer"":""Mahindra vehicles excel in off-road conditions with features like 4WD systems, high ground clearance, robust chassis, and advanced traction control systems.""},{""question"":""Does Mahindra make electric vehicles?"",""answer"":""Yes, Mahindra offers electric SUVs like XUV400 and is developing a comprehensive EV portfolio with advanced battery technology and charging solutions.""},{""question"":""What is Mahindra's warranty coverage?"",""answer"":""Mahindra provides competitive warranty packages with standard 3-year warranty on passenger vehicles and extended warranty options for comprehensive coverage.""}]"
"Tata Motors","Tata Motors Limited is India's largest automobile manufacturer and a leading global automotive company, part of the prestigious Tata Group. Founded in 1945, Tata Motors has been at the forefront of automotive innovation in India, known for its safety-first approach, robust build quality, and pioneering electric vehicle technology. The company has achieved remarkable success with multiple 5-star Global NCAP safety ratings for its passenger cars, making it synonymous with safety in India. Tata Motors' commitment to 'Make in India' and sustainable mobility has positioned it as a leader in both conventional and electric vehicle segments.","[{""question"":""Why are Tata cars considered the safest in India?"",""answer"":""Tata cars consistently receive 5-star Global NCAP safety ratings due to their robust build quality, advanced safety features, and comprehensive safety engineering approach.""},{""question"":""Which Tata cars have 5-star safety ratings?"",""answer"":""Tata Punch, Nexon, Harrier, and Safari have received 5-star Global NCAP safety ratings, making them among the safest cars available in India.""},{""question"":""What electric vehicles does Tata Motors offer?"",""answer"":""Tata Motors offers Nexon EV, Tigor EV, and Tiago EV, leading India's electric vehicle revolution with advanced battery technology and charging infrastructure.""},{""question"":""How is Tata Motors' build quality?"",""answer"":""Tata Motors is renowned for robust build quality, using high-strength steel, advanced manufacturing processes, and rigorous quality testing to ensure durability and safety.""},{""question"":""What is Tata Motors' warranty policy?"",""answer"":""Tata Motors offers competitive warranty packages with standard 3-year/1 lakh km warranty on passenger cars and extended warranty options for peace of mind.""}]"
"Toyota","Toyota Kirloskar Motor Private Limited is the Indian subsidiary of Toyota Motor Corporation, Japan, known worldwide for reliability, durability, and hybrid technology leadership. Established in 1997, Toyota has built a reputation in India for producing vehicles with legendary build quality, low maintenance costs, and exceptional resale value. The company is a pioneer in hybrid technology in India and is committed to sustainable mobility solutions. Toyota's philosophy of continuous improvement (Kaizen) and customer-first approach has earned it a loyal customer base and recognition as one of the most trusted automotive brands globally.","[{""question"":""What makes Toyota cars so reliable?"",""answer"":""Toyota cars are built with the Toyota Production System focusing on quality, durability testing, premium materials, and rigorous manufacturing standards ensuring long-lasting reliability.""},{""question"":""Does Toyota offer hybrid cars in India?"",""answer"":""Yes, Toyota offers hybrid technology in Camry Hybrid and Urban Cruiser Hyryder, providing excellent fuel efficiency and reduced emissions with advanced hybrid powertrains.""},{""question"":""Which are Toyota's most popular models in India?"",""answer"":""Popular Toyota models include Innova Crysta, Fortuner, Urban Cruiser Hyryder, Glanza, and Camry, known for their reliability and strong resale value.""},{""question"":""How is Toyota's resale value in India?"",""answer"":""Toyota vehicles have excellent resale value in India due to their reliability, durability, low maintenance costs, and strong brand reputation in the used car market.""},{""question"":""What warranty does Toyota provide?"",""answer"":""Toyota offers 3 years or 1 lakh km warranty (whichever is earlier) on all passenger vehicles with extended warranty options and comprehensive service support.""}]"
"Kia","Kia is a renowned automotive manufacturer known for quality vehicles, innovative technology, and excellent customer service. The brand has established itself in the global automotive market with a focus on performance, reliability, and customer satisfaction.","[{""question"":""What makes Kia special?"",""answer"":""Kia is known for its commitment to quality, innovative engineering, advanced technology, and customer-focused approach in the automotive industry.""},{""question"":""Which are the popular Kia models?"",""answer"":""Kia offers a diverse range of vehicles across different segments, each designed to meet specific customer needs with quality and reliability.""},{""question"":""How is Kia's service network?"",""answer"":""Kia maintains a comprehensive service network to ensure customer satisfaction and convenient access to sales and after-sales services.""}]"
"BMW","BMW is a renowned automotive manufacturer known for quality vehicles, innovative technology, and excellent customer service. The brand has established itself in the global automotive market with a focus on performance, reliability, and customer satisfaction.","[{""question"":""What makes BMW special?"",""answer"":""BMW is known for its commitment to quality, innovative engineering, advanced technology, and customer-focused approach in the automotive industry.""},{""question"":""Which are the popular BMW models?"",""answer"":""BMW offers a diverse range of vehicles across different segments, each designed to meet specific customer needs with quality and reliability.""},{""question"":""How is BMW's service network?"",""answer"":""BMW maintains a comprehensive service network to ensure customer satisfaction and convenient access to sales and after-sales services.""}]"
"Skoda","Skoda is a renowned automotive manufacturer known for quality vehicles, innovative technology, and excellent customer service. The brand has established itself in the global automotive market with a focus on performance, reliability, and customer satisfaction.","[{""question"":""What makes Skoda special?"",""answer"":""Skoda is known for its commitment to quality, innovative engineering, advanced technology, and customer-focused approach in the automotive industry.""},{""question"":""Which are the popular Skoda models?"",""answer"":""Skoda offers a diverse range of vehicles across different segments, each designed to meet specific customer needs with quality and reliability.""},{""question"":""How is Skoda's service network?"",""answer"":""Skoda maintains a comprehensive service network to ensure customer satisfaction and convenient access to sales and after-sales services.""}]"
"Renault","Renault is a renowned automotive manufacturer known for quality vehicles, innovative technology, and excellent customer service. The brand has established itself in the global automotive market with a focus on performance, reliability, and customer satisfaction.","[{""question"":""What makes Renault special?"",""answer"":""Renault is known for its commitment to quality, innovative engineering, advanced technology, and customer-focused approach in the automotive industry.""},{""question"":""Which are the popular Renault models?"",""answer"":""Renault offers a diverse range of vehicles across different segments, each designed to meet specific customer needs with quality and reliability.""},{""question"":""How is Renault's service network?"",""answer"":""Renault maintains a comprehensive service network to ensure customer satisfaction and convenient access to sales and after-sales services.""}]"
"MG Motor","MG Motor is a renowned automotive manufacturer known for quality vehicles, innovative technology, and excellent customer service. The brand has established itself in the global automotive market with a focus on performance, reliability, and customer satisfaction.","[{""question"":""What makes MG Motor special?"",""answer"":""MG Motor is known for its commitment to quality, innovative engineering, advanced technology, and customer-focused approach in the automotive industry.""},{""question"":""Which are the popular MG Motor models?"",""answer"":""MG Motor offers a diverse range of vehicles across different segments, each designed to meet specific customer needs with quality and reliability.""},{""question"":""How is MG Motor's service network?"",""answer"":""MG Motor maintains a comprehensive service network to ensure customer satisfaction and convenient access to sales and after-sales services.""}]"
