brand,model,body_type,sub_body_type,seating,fuel_types,transmissions,launch_date,description,pros,cons,summary,header_seo,exterior_design,comfort_convenience,is_popular,popular_rank,engine_summaries,mileage_data,faqs
"Hyundai","i10 Nios","SUV","Premium SUV",5,"petrol,diesel","manual,automatic","2020-01-01","The Hyundai i10 Nios is a premium suv offering excellent performance, advanced features, and superior comfort for discerning customers.","Premium design, feature-rich interiors, good performance, reliable build quality, comprehensive warranty","Higher maintenance cost, premium pricing, average fuel efficiency","Premium suv with advanced technology and superior performance.","Hyundai i10 Nios - Premium SUV | Price, Features, Specifications","The i10 Nios features modern design language with premium styling, distinctive front grille, and elegant proportions.","i10 Nios offers comfortable interiors with premium materials, advanced infotainment, and convenient features.",false,,"[{""title"":""1.5L Petrol Engine"",""summary"":""Advanced petrol engine with excellent performance and efficiency"",""transmission"":""6-Speed Manual"",""power"":""110 PS @ 6000 rpm"",""torque"":""140 Nm @ 4000 rpm"",""speed"":""175 kmph""},{""title"":""1.5L Petrol Automatic"",""summary"":""Same petrol engine with smooth automatic transmission"",""transmission"":""CVT Automatic"",""power"":""110 PS @ 6000 rpm"",""torque"":""140 Nm @ 4000 rpm"",""speed"":""170 kmph""}]","[{""engineName"":""1.5L Petrol Manual"",""companyClaimed"":""18.5 kmpl"",""cityRealWorld"":""14.2 kmpl"",""highwayRealWorld"":""20.8 kmpl""},{""engineName"":""1.5L Petrol Automatic"",""companyClaimed"":""17.2 kmpl"",""cityRealWorld"":""13.5 kmpl"",""highwayRealWorld"":""19.5 kmpl""}]","[{""question"":""What is the mileage of Hyundai i10 Nios?"",""answer"":""Hyundai i10 Nios delivers excellent fuel efficiency with its advanced engine technology and optimized performance.""},{""question"":""Is Hyundai i10 Nios worth buying?"",""answer"":""Yes, Hyundai i10 Nios offers excellent value with premium features, reliable performance, and comprehensive warranty coverage.""}]"
"Hyundai","i20","Hatchback","Premium Hatchback",5,"petrol,diesel","manual,automatic","2020-01-01","The Hyundai i20 is a premium hatchback offering excellent performance, advanced features, and superior comfort for discerning customers.","Premium design, feature-rich interiors, good performance, reliable build quality, comprehensive warranty","Higher maintenance cost, premium pricing, average fuel efficiency","Premium hatchback with advanced technology and superior performance.","Hyundai i20 - Premium Hatchback | Price, Features, Specifications","The i20 features modern design language with premium styling, distinctive front grille, and elegant proportions.","i20 offers comfortable interiors with premium materials, advanced infotainment, and convenient features.",false,,"[{""title"":""1.5L Petrol Engine"",""summary"":""Advanced petrol engine with excellent performance and efficiency"",""transmission"":""6-Speed Manual"",""power"":""110 PS @ 6000 rpm"",""torque"":""140 Nm @ 4000 rpm"",""speed"":""175 kmph""},{""title"":""1.5L Petrol Automatic"",""summary"":""Same petrol engine with smooth automatic transmission"",""transmission"":""CVT Automatic"",""power"":""110 PS @ 6000 rpm"",""torque"":""140 Nm @ 4000 rpm"",""speed"":""170 kmph""}]","[{""engineName"":""1.5L Petrol Manual"",""companyClaimed"":""18.5 kmpl"",""cityRealWorld"":""14.2 kmpl"",""highwayRealWorld"":""20.8 kmpl""},{""engineName"":""1.5L Petrol Automatic"",""companyClaimed"":""17.2 kmpl"",""cityRealWorld"":""13.5 kmpl"",""highwayRealWorld"":""19.5 kmpl""}]","[{""question"":""What is the mileage of Hyundai i20?"",""answer"":""Hyundai i20 delivers excellent fuel efficiency with its advanced engine technology and optimized performance.""},{""question"":""Is Hyundai i20 worth buying?"",""answer"":""Yes, Hyundai i20 offers excellent value with premium features, reliable performance, and comprehensive warranty coverage.""}]"
"Hyundai","Aura","Coupe","Premium Coupe",5,"petrol,diesel","manual,automatic","2020-01-01","The Hyundai Aura is a premium coupe offering excellent performance, advanced features, and superior comfort for discerning customers.","Premium design, feature-rich interiors, good performance, reliable build quality, comprehensive warranty","Higher maintenance cost, premium pricing, average fuel efficiency","Premium coupe with advanced technology and superior performance.","Hyundai Aura - Premium Coupe | Price, Features, Specifications","The Aura features modern design language with premium styling, distinctive front grille, and elegant proportions.","Aura offers comfortable interiors with premium materials, advanced infotainment, and convenient features.",false,,"[{""title"":""1.5L Petrol Engine"",""summary"":""Advanced petrol engine with excellent performance and efficiency"",""transmission"":""6-Speed Manual"",""power"":""110 PS @ 6000 rpm"",""torque"":""140 Nm @ 4000 rpm"",""speed"":""175 kmph""},{""title"":""1.5L Petrol Automatic"",""summary"":""Same petrol engine with smooth automatic transmission"",""transmission"":""CVT Automatic"",""power"":""110 PS @ 6000 rpm"",""torque"":""140 Nm @ 4000 rpm"",""speed"":""170 kmph""}]","[{""engineName"":""1.5L Petrol Manual"",""companyClaimed"":""18.5 kmpl"",""cityRealWorld"":""14.2 kmpl"",""highwayRealWorld"":""20.8 kmpl""},{""engineName"":""1.5L Petrol Automatic"",""companyClaimed"":""17.2 kmpl"",""cityRealWorld"":""13.5 kmpl"",""highwayRealWorld"":""19.5 kmpl""}]","[{""question"":""What is the mileage of Hyundai Aura?"",""answer"":""Hyundai Aura delivers excellent fuel efficiency with its advanced engine technology and optimized performance.""},{""question"":""Is Hyundai Aura worth buying?"",""answer"":""Yes, Hyundai Aura offers excellent value with premium features, reliable performance, and comprehensive warranty coverage.""}]"
"Hyundai","Verna","Coupe","Premium Coupe",5,"petrol,diesel","manual,automatic","2020-01-01","The Hyundai Verna is a premium coupe offering excellent performance, advanced features, and superior comfort for discerning customers.","Premium design, feature-rich interiors, good performance, reliable build quality, comprehensive warranty","Higher maintenance cost, premium pricing, average fuel efficiency","Premium coupe with advanced technology and superior performance.","Hyundai Verna - Premium Coupe | Price, Features, Specifications","The Verna features modern design language with premium styling, distinctive front grille, and elegant proportions.","Verna offers comfortable interiors with premium materials, advanced infotainment, and convenient features.",false,,"[{""title"":""1.5L Petrol Engine"",""summary"":""Advanced petrol engine with excellent performance and efficiency"",""transmission"":""6-Speed Manual"",""power"":""110 PS @ 6000 rpm"",""torque"":""140 Nm @ 4000 rpm"",""speed"":""175 kmph""},{""title"":""1.5L Petrol Automatic"",""summary"":""Same petrol engine with smooth automatic transmission"",""transmission"":""CVT Automatic"",""power"":""110 PS @ 6000 rpm"",""torque"":""140 Nm @ 4000 rpm"",""speed"":""170 kmph""}]","[{""engineName"":""1.5L Petrol Manual"",""companyClaimed"":""18.5 kmpl"",""cityRealWorld"":""14.2 kmpl"",""highwayRealWorld"":""20.8 kmpl""},{""engineName"":""1.5L Petrol Automatic"",""companyClaimed"":""17.2 kmpl"",""cityRealWorld"":""13.5 kmpl"",""highwayRealWorld"":""19.5 kmpl""}]","[{""question"":""What is the mileage of Hyundai Verna?"",""answer"":""Hyundai Verna delivers excellent fuel efficiency with its advanced engine technology and optimized performance.""},{""question"":""Is Hyundai Verna worth buying?"",""answer"":""Yes, Hyundai Verna offers excellent value with premium features, reliable performance, and comprehensive warranty coverage.""}]"
"Hyundai","Venue","Coupe","Premium Coupe",5,"petrol,diesel","manual,automatic","2020-01-01","The Hyundai Venue is a premium coupe offering excellent performance, advanced features, and superior comfort for discerning customers.","Premium design, feature-rich interiors, good performance, reliable build quality, comprehensive warranty","Higher maintenance cost, premium pricing, average fuel efficiency","Premium coupe with advanced technology and superior performance.","Hyundai Venue - Premium Coupe | Price, Features, Specifications","The Venue features modern design language with premium styling, distinctive front grille, and elegant proportions.","Venue offers comfortable interiors with premium materials, advanced infotainment, and convenient features.",false,,"[{""title"":""1.5L Petrol Engine"",""summary"":""Advanced petrol engine with excellent performance and efficiency"",""transmission"":""6-Speed Manual"",""power"":""110 PS @ 6000 rpm"",""torque"":""140 Nm @ 4000 rpm"",""speed"":""175 kmph""},{""title"":""1.5L Petrol Automatic"",""summary"":""Same petrol engine with smooth automatic transmission"",""transmission"":""CVT Automatic"",""power"":""110 PS @ 6000 rpm"",""torque"":""140 Nm @ 4000 rpm"",""speed"":""170 kmph""}]","[{""engineName"":""1.5L Petrol Manual"",""companyClaimed"":""18.5 kmpl"",""cityRealWorld"":""14.2 kmpl"",""highwayRealWorld"":""20.8 kmpl""},{""engineName"":""1.5L Petrol Automatic"",""companyClaimed"":""17.2 kmpl"",""cityRealWorld"":""13.5 kmpl"",""highwayRealWorld"":""19.5 kmpl""}]","[{""question"":""What is the mileage of Hyundai Venue?"",""answer"":""Hyundai Venue delivers excellent fuel efficiency with its advanced engine technology and optimized performance.""},{""question"":""Is Hyundai Venue worth buying?"",""answer"":""Yes, Hyundai Venue offers excellent value with premium features, reliable performance, and comprehensive warranty coverage.""}]"
"Hyundai","Creta","SUV","Compact SUV",5,"petrol,diesel","manual,automatic","2015-07-21","The Hyundai Creta is a premium compact SUV known for its bold design, feature-rich interiors, strong road presence, and comprehensive safety features.","Premium design, feature-rich interiors, spacious cabin, strong road presence, good build quality, comprehensive warranty","Higher maintenance cost, average fuel efficiency, firm ride quality, premium pricing","Premium compact SUV with bold design, advanced features, and strong market presence in the mid-size SUV segment.","Hyundai Creta - Premium Compact SUV | Price, Features, Specifications","Creta showcases Hyundai's Sensuous Sportiness design with bold front grille, sharp LED headlamps, muscular body lines, and commanding SUV stance.","Creta offers premium cabin with ventilated seats, panoramic sunroof, wireless charging, ambient lighting, and advanced connectivity features.",true,1,"[{""title"":""1.5L Petrol Engine"",""summary"":""Naturally aspirated petrol engine with smooth power delivery and refined performance"",""transmission"":""6-Speed Manual"",""power"":""115 PS @ 6300 rpm"",""torque"":""144 Nm @ 4500 rpm"",""speed"":""180 kmph""},{""title"":""1.5L Petrol CVT"",""summary"":""Same petrol engine with intelligent CVT for smooth automatic driving"",""transmission"":""CVT Automatic"",""power"":""115 PS @ 6300 rpm"",""torque"":""144 Nm @ 4500 rpm"",""speed"":""175 kmph""},{""title"":""1.5L Diesel Engine"",""summary"":""Advanced diesel engine with excellent torque delivery and fuel efficiency"",""transmission"":""6-Speed Manual"",""power"":""115 PS @ 4000 rpm"",""torque"":""250 Nm @ 1500-2750 rpm"",""speed"":""185 kmph""}]","[{""engineName"":""1.5L Petrol Manual"",""companyClaimed"":""17.4 kmpl"",""cityRealWorld"":""13.8 kmpl"",""highwayRealWorld"":""19.2 kmpl""},{""engineName"":""1.5L Petrol CVT"",""companyClaimed"":""16.8 kmpl"",""cityRealWorld"":""12.5 kmpl"",""highwayRealWorld"":""18.5 kmpl""},{""engineName"":""1.5L Diesel Manual"",""companyClaimed"":""21.4 kmpl"",""cityRealWorld"":""17.2 kmpl"",""highwayRealWorld"":""23.8 kmpl""}]","[{""question"":""Is Hyundai Creta worth buying?"",""answer"":""Yes, Creta offers excellent value with premium features, strong build quality, comprehensive warranty, and good resale value in the compact SUV segment.""},{""question"":""What is the mileage of Creta?"",""answer"":""Creta delivers 17.4 kmpl with petrol manual, 16.8 kmpl with petrol CVT, and 21.4 kmpl with diesel manual transmission.""},{""question"":""How is Creta's performance?"",""answer"":""Creta offers good performance with responsive engines, smooth transmissions, and confident handling suitable for both city and highway driving.""}]"
"Hyundai","Alcazar","Sedan","Premium Sedan",5,"petrol,diesel","manual,automatic","2020-01-01","The Hyundai Alcazar is a premium sedan offering excellent performance, advanced features, and superior comfort for discerning customers.","Premium design, feature-rich interiors, good performance, reliable build quality, comprehensive warranty","Higher maintenance cost, premium pricing, average fuel efficiency","Premium sedan with advanced technology and superior performance.","Hyundai Alcazar - Premium Sedan | Price, Features, Specifications","The Alcazar features modern design language with premium styling, distinctive front grille, and elegant proportions.","Alcazar offers comfortable interiors with premium materials, advanced infotainment, and convenient features.",false,,"[{""title"":""1.5L Petrol Engine"",""summary"":""Advanced petrol engine with excellent performance and efficiency"",""transmission"":""6-Speed Manual"",""power"":""110 PS @ 6000 rpm"",""torque"":""140 Nm @ 4000 rpm"",""speed"":""175 kmph""},{""title"":""1.5L Petrol Automatic"",""summary"":""Same petrol engine with smooth automatic transmission"",""transmission"":""CVT Automatic"",""power"":""110 PS @ 6000 rpm"",""torque"":""140 Nm @ 4000 rpm"",""speed"":""170 kmph""}]","[{""engineName"":""1.5L Petrol Manual"",""companyClaimed"":""18.5 kmpl"",""cityRealWorld"":""14.2 kmpl"",""highwayRealWorld"":""20.8 kmpl""},{""engineName"":""1.5L Petrol Automatic"",""companyClaimed"":""17.2 kmpl"",""cityRealWorld"":""13.5 kmpl"",""highwayRealWorld"":""19.5 kmpl""}]","[{""question"":""What is the mileage of Hyundai Alcazar?"",""answer"":""Hyundai Alcazar delivers excellent fuel efficiency with its advanced engine technology and optimized performance.""},{""question"":""Is Hyundai Alcazar worth buying?"",""answer"":""Yes, Hyundai Alcazar offers excellent value with premium features, reliable performance, and comprehensive warranty coverage.""}]"
"Hyundai","Tucson","Hatchback","Premium Hatchback",5,"petrol,diesel","manual,automatic","2020-01-01","The Hyundai Tucson is a premium hatchback offering excellent performance, advanced features, and superior comfort for discerning customers.","Premium design, feature-rich interiors, good performance, reliable build quality, comprehensive warranty","Higher maintenance cost, premium pricing, average fuel efficiency","Premium hatchback with advanced technology and superior performance.","Hyundai Tucson - Premium Hatchback | Price, Features, Specifications","The Tucson features modern design language with premium styling, distinctive front grille, and elegant proportions.","Tucson offers comfortable interiors with premium materials, advanced infotainment, and convenient features.",false,,"[{""title"":""1.5L Petrol Engine"",""summary"":""Advanced petrol engine with excellent performance and efficiency"",""transmission"":""6-Speed Manual"",""power"":""110 PS @ 6000 rpm"",""torque"":""140 Nm @ 4000 rpm"",""speed"":""175 kmph""},{""title"":""1.5L Petrol Automatic"",""summary"":""Same petrol engine with smooth automatic transmission"",""transmission"":""CVT Automatic"",""power"":""110 PS @ 6000 rpm"",""torque"":""140 Nm @ 4000 rpm"",""speed"":""170 kmph""}]","[{""engineName"":""1.5L Petrol Manual"",""companyClaimed"":""18.5 kmpl"",""cityRealWorld"":""14.2 kmpl"",""highwayRealWorld"":""20.8 kmpl""},{""engineName"":""1.5L Petrol Automatic"",""companyClaimed"":""17.2 kmpl"",""cityRealWorld"":""13.5 kmpl"",""highwayRealWorld"":""19.5 kmpl""}]","[{""question"":""What is the mileage of Hyundai Tucson?"",""answer"":""Hyundai Tucson delivers excellent fuel efficiency with its advanced engine technology and optimized performance.""},{""question"":""Is Hyundai Tucson worth buying?"",""answer"":""Yes, Hyundai Tucson offers excellent value with premium features, reliable performance, and comprehensive warranty coverage.""}]"
"Hyundai","Elantra","SUV","Premium SUV",5,"petrol,diesel","manual,automatic","2020-01-01","The Hyundai Elantra is a premium suv offering excellent performance, advanced features, and superior comfort for discerning customers.","Premium design, feature-rich interiors, good performance, reliable build quality, comprehensive warranty","Higher maintenance cost, premium pricing, average fuel efficiency","Premium suv with advanced technology and superior performance.","Hyundai Elantra - Premium SUV | Price, Features, Specifications","The Elantra features modern design language with premium styling, distinctive front grille, and elegant proportions.","Elantra offers comfortable interiors with premium materials, advanced infotainment, and convenient features.",false,,"[{""title"":""1.5L Petrol Engine"",""summary"":""Advanced petrol engine with excellent performance and efficiency"",""transmission"":""6-Speed Manual"",""power"":""110 PS @ 6000 rpm"",""torque"":""140 Nm @ 4000 rpm"",""speed"":""175 kmph""},{""title"":""1.5L Petrol Automatic"",""summary"":""Same petrol engine with smooth automatic transmission"",""transmission"":""CVT Automatic"",""power"":""110 PS @ 6000 rpm"",""torque"":""140 Nm @ 4000 rpm"",""speed"":""170 kmph""}]","[{""engineName"":""1.5L Petrol Manual"",""companyClaimed"":""18.5 kmpl"",""cityRealWorld"":""14.2 kmpl"",""highwayRealWorld"":""20.8 kmpl""},{""engineName"":""1.5L Petrol Automatic"",""companyClaimed"":""17.2 kmpl"",""cityRealWorld"":""13.5 kmpl"",""highwayRealWorld"":""19.5 kmpl""}]","[{""question"":""What is the mileage of Hyundai Elantra?"",""answer"":""Hyundai Elantra delivers excellent fuel efficiency with its advanced engine technology and optimized performance.""},{""question"":""Is Hyundai Elantra worth buying?"",""answer"":""Yes, Hyundai Elantra offers excellent value with premium features, reliable performance, and comprehensive warranty coverage.""}]"
"Hyundai","Kona Electric","Coupe","Premium Coupe",5,"petrol,diesel","manual,automatic","2020-01-01","The Hyundai Kona Electric is a premium coupe offering excellent performance, advanced features, and superior comfort for discerning customers.","Premium design, feature-rich interiors, good performance, reliable build quality, comprehensive warranty","Higher maintenance cost, premium pricing, average fuel efficiency","Premium coupe with advanced technology and superior performance.","Hyundai Kona Electric - Premium Coupe | Price, Features, Specifications","The Kona Electric features modern design language with premium styling, distinctive front grille, and elegant proportions.","Kona Electric offers comfortable interiors with premium materials, advanced infotainment, and convenient features.",false,,"[{""title"":""1.5L Petrol Engine"",""summary"":""Advanced petrol engine with excellent performance and efficiency"",""transmission"":""6-Speed Manual"",""power"":""110 PS @ 6000 rpm"",""torque"":""140 Nm @ 4000 rpm"",""speed"":""175 kmph""},{""title"":""1.5L Petrol Automatic"",""summary"":""Same petrol engine with smooth automatic transmission"",""transmission"":""CVT Automatic"",""power"":""110 PS @ 6000 rpm"",""torque"":""140 Nm @ 4000 rpm"",""speed"":""170 kmph""}]","[{""engineName"":""1.5L Petrol Manual"",""companyClaimed"":""18.5 kmpl"",""cityRealWorld"":""14.2 kmpl"",""highwayRealWorld"":""20.8 kmpl""},{""engineName"":""1.5L Petrol Automatic"",""companyClaimed"":""17.2 kmpl"",""cityRealWorld"":""13.5 kmpl"",""highwayRealWorld"":""19.5 kmpl""}]","[{""question"":""What is the mileage of Hyundai Kona Electric?"",""answer"":""Hyundai Kona Electric delivers excellent fuel efficiency with its advanced engine technology and optimized performance.""},{""question"":""Is Hyundai Kona Electric worth buying?"",""answer"":""Yes, Hyundai Kona Electric offers excellent value with premium features, reliable performance, and comprehensive warranty coverage.""}]"
